countrycode,seriescode,Description
CHN,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,IT.NET.BBND,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,SP.POP.1564.MA.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SP.POP.1564.FE.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SP.POP.0014.TO.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,SP.POP.0014.MA.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,SP.DYN.AMRT.FE,"Data source: United Nations World Population Prospects. The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,IT.MLT.MAIN,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,MS.MIL.XPND.ZS,1989-2021 SIPRI estimates.
CHN,SP.DYN.CDRT.IN,Data source: National Bureau of Statistics
CHN,MS.MIL.XPND.GD.ZS,1989-2021 SIPRI estimates.
CHN,SP.POP.0014.FE.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
CHN,BX.KLT.DINV.CD.WD,Data based on BPM6.
CHN,ST.INT.DPRT,Includes overnight visitors (tourists) only. Including air crew members and other servicemen.
CHN,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
CHN,SP.DYN.TO65.MA.ZS,"The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,SP.DYN.TO65.FE.ZS,"The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,ER.FSH.CAPT.MT,"In 2008, China revised its 2006 production statistics to reduce about 13 percent based on its Second National Agriculture Census conducted in 2007. This implied the downward adjustment of global capture production about 2 percent. Historical statistics of China for the period 1997-2005 were subsequently revised by FAO."
CHN,MS.MIL.XPND.CN,1989-2022 SIPRI estimates.
CHN,SP.DYN.AMRT.MA,"Data source: United Nations World Population Prospects. The data for China do not include Hong Kong SAR, China; Macao SAR, China; and Taiwan, China."
CHN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
CHN,SM.POP.TOTL.ZS,"For statistical purposes, the data for China do not include Hong Kong and Macao, Special Administrative Regions (SAR) of China, and Taiwan, China."
CHN,IT.CEL.SETS.P2,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,SP.DYN.CBRT.IN,Data source: National Bureau of Statistics
CHN,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
CHN,IT.CEL.SETS,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,IT.NET.BBND.P2,Ministry of Information Industry (MII). Ministry of Industry and Information Technology.
CHN,SP.POP.TOTL,Data source: National Bureau of Statistics
CHN,SM.POP.TOTL,"For statistical purposes, the data for China do not include Hong Kong and Macao, Special Administrative Regions (SAR) of China, and Taiwan, China."
CHN,SP.POP.TOTL.MA.ZS,"Excluding Hong Kong SAR, China; Macao SAR, China; Taiwan, China."
